iter	MultiClass
0	1.454020864
1	1.336045283
2	1.225957724
3	1.1334573
4	1.064954096
5	1.000047645
6	0.9468877496
7	0.8993827806
8	0.8573236365
9	0.8200201842
10	0.7885791352
11	0.7607546329
12	0.7353746301
13	0.7140881929
14	0.6935566419
15	0.6755226659
16	0.6566973038
17	0.6396302639
18	0.6227050011
19	0.609141426
20	0.5951356325
21	0.5821776819
22	0.570513789
23	0.5600478309
24	0.5499550298
25	0.5411470641
26	0.5311577365
27	0.5229505994
28	0.5150850175
29	0.50782559
30	0.5006598107
31	0.4945500358
32	0.4878847945
33	0.4827513224
34	0.4777072157
35	0.4724727725
36	0.4665184107
37	0.4611073607
38	0.4556062109
39	0.4517907051
40	0.4484998212
41	0.4442452691
42	0.4402073265
43	0.4368507069
44	0.4332087522
45	0.4285803419
46	0.4257096573
47	0.4229728134
48	0.4191892705
49	0.4164148044
50	0.4140231922
51	0.4106187452
52	0.4072539083
53	0.4034422907
54	0.3992010389
55	0.3967902308
56	0.3948030271
57	0.3917975383
58	0.3878384693
59	0.3859498259
60	0.3842071218
61	0.3814763888
62	0.3781855629
63	0.376244564
64	0.3743848047
65	0.3731636656
66	0.3699716424
67	0.3676382492
68	0.3657564584
69	0.3641180676
70	0.3623159726
71	0.3603892671
72	0.3587583248
73	0.3568352482
74	0.3545760599
75	0.3534926236
76	0.3510864661
77	0.3493745201
78	0.347401209
79	0.3450437877
80	0.3427614789
81	0.3410901487
82	0.3389616647
83	0.3365049856
84	0.3345205774
85	0.3332207494
86	0.3319143264
87	0.3306553987
88	0.3297830509
89	0.3283003912
90	0.3270766563
91	0.325908029
92	0.3239604197
93	0.321757961
94	0.3205341784
95	0.3188469384
96	0.3179026422
97	0.3169577196
98	0.3149460048
99	0.3132305046
100	0.3120084338
101	0.3105960127
102	0.3099454413
103	0.3070378473
104	0.3062243399
105	0.3045370236
106	0.3033787454
107	0.3015241075
108	0.3001454348
109	0.2985334022
110	0.2969955002
111	0.2956611691
112	0.2937043353
113	0.292662701
114	0.2913835375
115	0.2902090769
116	0.2893358386
117	0.2877568371
118	0.2856035925
119	0.283988743
120	0.2831899188
121	0.2805974569
122	0.2793050074
123	0.2778874642
124	0.2765647364
125	0.2752472964
126	0.2741969841
127	0.2733548957
128	0.2720570076
129	0.2702971433
130	0.2689940151
131	0.2674042308
132	0.2663797129
133	0.2653119448
134	0.2645499398
135	0.2636474188
136	0.2628835673
137	0.2620668447
138	0.2611078247
139	0.259312097
140	0.2573543361
141	0.2567216092
142	0.2550783736
143	0.2540661447
144	0.2530173521
145	0.2520813364
146	0.2503670901
147	0.2494269035
148	0.2485465759
149	0.2477853587
150	0.2467787786
151	0.2456244511
152	0.2446741678
153	0.2432091333
154	0.2428175482
155	0.2410441808
156	0.2401138664
157	0.2386458839
158	0.2379329959
159	0.2368513958
160	0.2358522739
161	0.2350059902
162	0.2344900263
163	0.2338406446
164	0.2332619814
165	0.2327139902
166	0.2320860037
167	0.2312087264
168	0.2302075279
169	0.2287991057
170	0.227831788
171	0.2270297057
172	0.225858798
173	0.2249860202
174	0.2240998355
175	0.2232635725
176	0.2227462684
177	0.2214258814
178	0.220418697
179	0.2196424783
180	0.2191074289
181	0.2182100289
182	0.217358279
183	0.2162463723
184	0.2150319074
185	0.2143280136
186	0.2136643459
187	0.2128523598
188	0.2122834268
189	0.2115068205
190	0.2107791401
191	0.2100541491
192	0.2087060467
193	0.2078565308
194	0.2067728236
195	0.2063034174
196	0.2055602674
197	0.20484292
198	0.2043650068
199	0.2035571351
200	0.203120422
201	0.2023211771
202	0.2019325973
203	0.2011624911
204	0.2001680189
205	0.1996042208
206	0.1989286647
207	0.1980350098
208	0.19738109
209	0.1968240568
210	0.1961941045
211	0.1953083575
212	0.1947241965
213	0.1936934597
214	0.1924301707
215	0.1921215634
216	0.1919305683
217	0.1910468307
218	0.1905422012
219	0.1901996957
220	0.1897233367
221	0.1890501626
222	0.1884200666
223	0.1879788358
224	0.1871384906
225	0.1866105729
226	0.1861566442
227	0.1857378275
228	0.1853939318
229	0.1846597054
230	0.1840957768
231	0.1835544456
232	0.1831054623
233	0.1826937761
234	0.1823662688
235	0.1813086501
236	0.1805488434
237	0.1801507206
238	0.1794161235
239	0.1789560857
240	0.1785595242
241	0.1777908418
242	0.1773261769
243	0.1766802621
244	0.1762954944
245	0.1759195703
246	0.1754370539
247	0.1749950655
248	0.1741631149
249	0.1737368901
250	0.1732199089
251	0.1727946373
252	0.1721794048
253	0.171161039
254	0.1705906991
255	0.1696971614
256	0.1691079279
257	0.1685302821
258	0.1679187159
259	0.1674805553
260	0.1671663666
261	0.1664622247
262	0.1661322878
263	0.1658854195
264	0.1655731585
265	0.1647596406
266	0.1640947962
267	0.1636374737
268	0.1631854493
269	0.1626344807
270	0.1614787797
271	0.160937967
272	0.1603441224
273	0.1597556521
274	0.1589924142
275	0.1583851343
276	0.1580955419
277	0.1578878937
278	0.1575227258
279	0.1571979437
280	0.1566724145
281	0.1560653157
282	0.1553739685
283	0.1547389047
284	0.1542204599
285	0.1538243115
286	0.1533277127
287	0.1529994846
288	0.1525450141
289	0.1522095135
290	0.1516820399
291	0.1512478626
292	0.1509333731
293	0.1504073653
294	0.1499134914
295	0.1492371
296	0.1488030331
297	0.1484828656
298	0.1479807328
299	0.1474183088
300	0.1472710067
301	0.1466724138
302	0.1464641485
303	0.1460909326
304	0.1454140576
305	0.1450043242
306	0.14431827
307	0.1441133902
308	0.1437520596
309	0.1430824575
310	0.1426380541
311	0.1423664944
312	0.1416438373
313	0.1413968732
314	0.1407268765
315	0.1404537973
316	0.1399077434
317	0.1396472315
318	0.1394586353
319	0.1390935987
320	0.138881225
321	0.1387016635
322	0.1384052576
323	0.138067279
324	0.1379234626
325	0.1377955274
326	0.1375154281
327	0.137252788
328	0.1368622213
329	0.1362354377
330	0.1360033345
331	0.1353940028
332	0.1350809845
333	0.1348245845
334	0.134361357
335	0.1338672857
336	0.1335277451
337	0.1330554159
338	0.1326355564
339	0.1323369797
340	0.1317856317
341	0.1315712778
342	0.1313061842
343	0.1310310429
344	0.1306726426
345	0.1303370694
346	0.1301703933
347	0.1299551628
348	0.1295120973
349	0.1293455496
350	0.1291399642
351	0.128741679
352	0.1284130036
353	0.1281978311
354	0.1279719653
355	0.1277783688
356	0.1274894276
357	0.1270924656
358	0.1262952201
359	0.1257975676
360	0.1256690909
361	0.1253197061
362	0.1251214049
363	0.1248058232
364	0.1245132319
365	0.1241320394
366	0.1235168285
367	0.1230467608
368	0.1227475049
369	0.122437501
370	0.1220661657
371	0.1216091543
372	0.121277915
373	0.1210291011
374	0.1203825704
375	0.1201847008
376	0.1195491363
377	0.1193619393
378	0.1190004691
379	0.1187639857
380	0.1185696311
381	0.118336013
382	0.1179047964
383	0.1176393902
384	0.1172689159
385	0.116968161
386	0.11680194
387	0.1165864641
388	0.1163913991
389	0.1161992099
390	0.115578023
391	0.1153636838
392	0.1152020064
393	0.1147203638
394	0.114633316
395	0.114409286
396	0.1142660156
397	0.113849161
398	0.1136622456
399	0.1133668642
400	0.1131245226
401	0.1128707947
402	0.1125060557
403	0.1123497756
404	0.1121618487
405	0.111594408
406	0.1113625515
407	0.1109817539
408	0.1108392544
409	0.1106050362
410	0.110468347
411	0.1102997276
412	0.1101725972
413	0.1099691391
414	0.1098404882
415	0.1095474737
416	0.1092933537
417	0.1090508787
418	0.1088381456
419	0.1085842283
420	0.1081657543
421	0.1078561405
422	0.1076841549
423	0.1073284264
424	0.1071070931
425	0.106722638
426	0.1063051824
427	0.1059818951
428	0.1058751107
429	0.1057048077
430	0.105524223
431	0.1053884676
432	0.1050276294
433	0.1046709818
434	0.1045839013
435	0.1044237804
436	0.1042766867
437	0.1041304614
438	0.1039055527
439	0.103515965
440	0.1033327565
441	0.1031292007
442	0.1028620002
443	0.1026787911
444	0.1025005683
445	0.102304936
446	0.1019337553
447	0.1015820082
448	0.1014083788
449	0.1012146373
450	0.1010625788
451	0.1006386657
452	0.1004396547
453	0.1003321813
454	0.1001824641
455	0.1000100533
456	0.09965938346
457	0.09937253566
458	0.09918169631
459	0.09895135022
460	0.09873102102
461	0.09837774946
462	0.09816185599
463	0.09793283555
464	0.09773722395
465	0.09752674558
466	0.0973937068
467	0.0973478647
468	0.09718493245
469	0.09708170054
470	0.09697449284
471	0.09672386363
472	0.09648822344
473	0.09617595601
474	0.09596598107
475	0.09571593298
476	0.0956026649
477	0.09550167419
478	0.0953342418
479	0.09515539012
480	0.09506680861
481	0.09502179391
482	0.094625769
483	0.09437854032
484	0.09424183148
485	0.09404878947
486	0.0936933323
487	0.0936234047
488	0.09355664744
489	0.09337993305
490	0.0929584275
491	0.09288698777
492	0.09281296428
493	0.09269144585
494	0.09262258944
495	0.0925955473
496	0.09243423848
497	0.09221719599
498	0.09198467956
499	0.09193546127
500	0.09168091586
501	0.09146053648
502	0.09113184116
503	0.09102951192
504	0.09083755975
505	0.09069010635
506	0.0905055401
507	0.09005626641
508	0.08994688476
509	0.08978800465
510	0.08966737217
511	0.08946893363
512	0.08930917747
513	0.08916410487
514	0.08901874004
515	0.08888461806
516	0.08876501207
517	0.08866513032
518	0.08861579933
519	0.08838929207
520	0.08808448938
521	0.08788048224
522	0.08766042813
523	0.08756220587
524	0.08743134016
525	0.08729839999
526	0.08710948722
527	0.08706975226
528	0.08696268971
529	0.08669161202
530	0.0865714412
531	0.08639132001
532	0.08628686105
533	0.08618762115
534	0.08613916181
535	0.08600338246
536	0.08588243102
537	0.08579318144
538	0.08564228694
539	0.08544001358
540	0.08535064554
541	0.085155251
542	0.08511105401
543	0.08498096118
544	0.08480310894
545	0.0846416236
546	0.08439132418
547	0.0840574819
548	0.08395074783
549	0.08387089347
550	0.08367834139
551	0.08346489527
552	0.0833769869
553	0.08328024906
554	0.08322798459
555	0.08313996948
556	0.08309202119
557	0.08301367871
558	0.08295513622
559	0.08288105602
560	0.0827553082
561	0.08267582176
562	0.08259351786
563	0.08249974012
564	0.08244910875
565	0.08229860621
566	0.08216108052
567	0.08209848871
568	0.0820454682
569	0.08196518788
570	0.08182623794
571	0.08165572943
572	0.08157877917
573	0.08147830915
574	0.08127486724
575	0.08112092156
576	0.08091934857
577	0.08071935393
578	0.08067516029
579	0.08059109767
580	0.08057540537
581	0.08038713053
582	0.08024399987
583	0.08012601935
584	0.0800554437
585	0.07998126329
586	0.07988653715
587	0.07975060928
588	0.07971227683
589	0.07959825617
590	0.07946007205
591	0.07935415417
592	0.07930440909
593	0.07920902672
594	0.07908874246
595	0.07900787493
596	0.07892341939
597	0.07876106695
598	0.07857679103
599	0.07842380528
600	0.07836951504
601	0.07830130988
602	0.07814973249
603	0.07801059574
604	0.07786832178
605	0.07776652475
606	0.07769712238
607	0.07754449291
608	0.07743616769
