iter	Passed	Remaining
0	355	354995
1	487	243260
2	611	203367
3	747	186036
4	875	174270
5	1004	166422
6	1135	161099
7	1259	156180
8	1388	152888
9	1522	150725
10	1657	149054
11	1791	147506
12	1924	146093
13	2057	144880
14	2200	144512
15	2370	145794
16	2513	145311
17	2650	144579
18	2786	143862
19	2924	143287
20	3064	142867
21	3201	142315
22	3331	141513
23	3461	140761
24	3597	140283
25	3734	139883
26	3870	139481
27	4000	138872
28	4131	138329
29	4259	137729
30	4387	137149
31	4528	136996
32	4674	136984
33	4817	136867
34	4942	136267
35	5074	135887
36	5210	135622
37	5358	135659
38	5488	135240
39	5622	134931
40	5763	134809
41	5891	134392
42	6022	134045
43	6158	133809
44	6294	133585
45	6427	133301
46	6554	132901
47	6683	132550
48	6818	132331
49	6942	131907
50	7074	131632
51	7202	131304
52	7324	130880
53	7520	131744
54	7686	132063
55	7849	132322
56	7994	132251
57	8144	132285
58	8267	131852
59	8394	131506
60	8519	131146
61	8651	130886
62	8792	130768
63	8920	130467
64	9089	130747
65	9241	130779
66	9386	130703
67	9524	130535
68	9674	130531
69	9827	130567
70	9987	130679
71	10133	130614
72	10293	130714
73	10501	131409
74	10665	131544
75	10895	132464
76	11057	132550
77	11209	132500
78	11349	132313
79	11487	132101
80	11624	131892
81	11783	131918
82	11942	131945
83	12093	131871
84	12243	131800
85	12373	131500
86	12520	131395
87	12681	131430
88	12845	131484
89	12979	131240
90	13107	130931
91	13261	130881
92	13402	130708
93	13559	130686
94	13734	130839
95	13886	130762
96	14025	130564
97	14177	130490
98	14351	130616
99	14505	130549
100	14651	130410
101	14790	130217
102	14949	130190
103	15089	130002
104	15223	129763
105	15364	129585
106	15526	129581
107	15685	129548
108	15847	129544
109	15996	129425
110	16175	129552
111	16324	129431
112	16474	129321
113	16634	129278
114	16809	129358
115	16953	129194
116	17107	129108
117	17257	128992
118	17413	128918
119	17559	128767
120	17703	128606
121	17842	128405
122	17984	128229
123	18133	128104
124	18280	127964
125	18419	127767
126	18560	127582
127	18718	127521
128	18866	127386
129	19019	127281
130	19170	127166
131	19318	127032
132	19465	126892
133	19614	126763
134	19766	126654
135	19909	126485
136	20063	126384
137	20213	126261
138	20389	126295
139	20549	126235
140	20709	126163
141	20866	126082
142	21030	126034
143	21186	125943
144	21365	125982
145	21517	125860
146	21671	125751
147	21822	125629
148	21977	125523
149	22132	125418
150	22276	125252
151	22425	125109
152	22578	124995
153	22744	124949
154	22899	124841
155	23066	124796
156	23233	124749
157	23402	124716
158	23563	124633
159	23747	124675
160	23907	124588
161	24076	124542
162	24246	124506
163	24408	124425
164	24567	124324
165	24733	124264
166	24895	124180
167	25051	124063
168	25210	123962
169	25363	123831
170	25527	123755
171	25679	123620
172	25840	123524
173	26016	123502
174	26166	123355
175	26328	123264
176	26494	123191
177	26646	123054
178	26790	122876
179	26935	122706
180	27092	122590
181	27243	122447
182	27385	122261
183	27522	122055
184	27659	121849
185	27799	121658
186	27937	121461
187	28070	121242
188	28203	121020
